Id;Prop1;Prop2;Prop3;Prop4;Prop5
5895;Red Pixel Glasses;Black Earrings;Oops Right;Chin Strap Black Beard;Berry Print
5896;Professor Eyes;Long Black Left Earring;Wooah;Chin Strap Orange Beard;Orange Print
5897;Blah-blah Eyes;Long Black Right Earring;Hipster Orange Beard;Orange Print;
5898;Eyes Up;Long Black Earrings;Sad Face;;
5899;Professor Eyes;Red Left Earring;Wide Smile;3-day Stubble Black;Love Print
5900;Long Red Left Earring;Smile;Hipster Orange Beard;;
5901;Professor Eyes;Long Red Left Earring;Wooah;Gunslinger Black Beard;Orange Print
5902;Eyes To The Left;Long Black Left Earring;Oops Left;3-day Stubble Orange;Yellow Parrot Print
5903;Eyes To The Left;Long Black Left Earring;Gunslinger Black Beard;Heart Print;
5904;Eyes Up;Black Right Earring;Black Mustache;Balbo Orange Beard;
5905;Long Red Right Earring;Wooah;Hipster Orange Beard;Berry Print;
5906;Long Black Left Earring;Oops Right;Hipster Black Beard;;
5907;Eyes To The Right;Red Right Earring;Smile;Chin Strap Orange Beard;Orange Print
5908;Eyes To The Right;Black Left Earring;;;
5909;Red Pixel Glasses;Black Right Earring;Wide Smile;Gunslinger Black Beard;Blue Parrot Print
5910;Blah-blah Eyes;Oops Left;Gunslinger Black Beard;;
5911;Long Red Right Earring;Mexican Mustache;Chin Strap Orange Beard;;
5912;Eyes To The Right;Black Right Earring;LOL Teeth;Chin Strap Black Beard;Unique Blue Logo
5913;Professor Eyes;Long Black Right Earring;White Beard;Chin Strap Black Beard;Blue Parrot Print
5914;Professor Eyes;Black Earrings;Vampire;Balbo Orange Beard;
5915;Eyes To The Right;Long Red Left Earring;Vampire;3-day Stubble Orange;Unique Blue Logo
5916;Pirate Eye;Black Right Earring;Oops Right;Short Box Orange Beard;
5917;Eyes To The Right;Black Earrings;Smile;Hipster Orange Beard;Unique Blue Logo
5918;Eyes Wide Open;Red Earrings;Vampire;Hipster Orange Beard;
5919;Eyes To The Left;Red Left Earring;LOL Teeth;Balbo Black Beard;
5920;Sunglasses;Black Left Earring;Oops Left;3-day Stubble Black;Blue Parrot Print
5921;Sunglasses;Red Left Earring;Sad Face;Black Heart Print;
5922;Professor Eyes;Long Black Earrings;Black Mustache;Hipster Black Beard;
5923;Eyes To The Left;Black Left Earring;LOL Teeth;3-day Stubble Black;
5924;Eyes To The Right;Long Black Left Earring;Mexican Mustache;Short Box Orange Beard;Love Print
5925;Eyes To The Left;Long Red Earrings;White Beard;;
5926;Professor Eyes;Red Right Earring;Piglet Mouth;Gunslinger Orange Beard;
5927;Eyes Up;Red Right Earring;Black Mustache;Short Box Orange Beard;
5928;Blah-blah Eyes;Gold Mustache;Gunslinger Black Beard;;
5929;Eyes To The Left;Black Right Earring;Piglet Mouth;Gunslinger Black Beard;Blue Parrot Print
5930;Eyes Up;Red Right Earring;Wooah;Gunslinger Black Beard;
5931;Blah-blah Eyes;Long Black Left Earring;Oops Right;Short Box Black Beard;Unique Blue Logo
5932;Eyes Up;Long Black Earrings;Black Mustache;Chin Strap Orange Beard;Orange Print
5933;Black Earrings;Oops Left;Balbo Black Beard;Heart Print;
5934;Eyes To The Left;Long Red Left Earring;Sad Face;Chin Strap Orange Beard;
5935;Eyes To The Left;Black Mustache;Chin Strap Black Beard;Orange Print;
5936;Pirate Eye;Long Red Earrings;Oops Left;Chin Strap Orange Beard;
5937;Pirate Eye;Long Black Left Earring;LOL Teeth;3-day Stubble Orange;Unique Black Logo
5938;Eyes Wide Open;Black Earrings;Oops Left;Chin Strap Orange Beard;
5939;Eyes To The Right;Black Earrings;Sad Face;3-day Stubble Black;
5940;Pirate Eye;Black Earrings;Wooah;Short Box Orange Beard;
5941;Eyes Wide Open;Long Red Earrings;Black Mustache;Short Box Black Beard;
5942;Eyes To The Right;Black Right Earring;Mexican Mustache;Short Box Black Beard;
5943;Pirate Eye;Long Red Right Earring;Sad Face;Balbo Orange Beard;Black Heart Print
5944;Eyes To The Left;Long Red Left Earring;Wooah;Hipster Orange Beard;Blue Parrot Print
5945;Blah-blah Eyes;Long Red Right Earring;Oops Left;Chin Strap Orange Beard;
5946;Sunglasses;Long Red Right Earring;Vampire;Short Box Orange Beard;Love Print
5947;Blah-blah Eyes;Long Black Right Earring;Mexican Mustache;3-day Stubble Orange;Love Print
5948;Pirate Eye;Black Earrings;Piglet Mouth;Black Heart Print;
5949;Sunglasses;Black Right Earring;Gunslinger Black Beard;Unique Black Logo;
5950;Professor Eyes;Black Right Earring;Wide Smile;3-day Stubble Black;Unique Black Logo
5951;Red Pixel Glasses;Sad Face;Hipster Orange Beard;;
5952;Eyes To The Right;Red Earrings;Gold Mustache;Gunslinger Orange Beard;
5953;Blah-blah Eyes;Long Red Right Earring;Wide Smile;Hipster Black Beard;
5954;Red Pixel Glasses;Long Black Left Earring;Oops Left;Hipster Orange Beard;
5955;Eyes To The Left;Long Red Left Earring;Wooah;Balbo Orange Beard;
5956;Eyes To The Right;Long Black Right Earring;Gold Mustache;Hipster Orange Beard;Orange Print
5957;Eyes Up;Long Black Right Earring;Sad Face;Gunslinger Orange Beard;
5958;Eyes Up;Red Left Earring;Piglet Mouth;Chin Strap Black Beard;Black Heart Print
5959;Eyes To The Right;Long Black Earrings;Wooah;Gunslinger Orange Beard;Berry Print
5960;Blah-blah Eyes;Long Black Earrings;Vampire;Gunslinger Orange Beard;Unique Black Logo
5961;Professor Eyes;Black Earrings;Gunslinger Black Beard;;
5962;Eyes Up;Red Earrings;Oops Right;Short Box Black Beard;
5963;Eyes Wide Open;Long Red Right Earring;Gold Mustache;Chin Strap Orange Beard;Black Heart Print
5964;Eyes Wide Open;Red Left Earring;Wooah;Gunslinger Black Beard;
5965;Eyes To The Right;Black Left Earring;Oops Right;Short Box Orange Beard;Unique Black Logo
5966;Eyes Up;Black Right Earring;Vampire;Unique Blue Logo;
5967;Pirate Eye;Long Black Left Earring;Vampire;Gunslinger Black Beard;
5968;Professor Eyes;Red Left Earring;Sad Face;Balbo Orange Beard;Black Heart Print
5969;Blah-blah Eyes;3-day Stubble Black;Yellow Parrot Print;;
5970;Eyes To The Right;Long Black Left Earring;Wooah;Hipster Orange Beard;
5971;Eyes To The Right;Long Black Right Earring;3-day Stubble Black;Unique Blue Logo;
5972;Red Pixel Glasses;Long Red Left Earring;Vampire;Balbo Black Beard;Unique Blue Logo
5973;Blah-blah Eyes;Long Black Earrings;Black Mustache;Gunslinger Black Beard;Berry Print
5974;Blah-blah Eyes;Red Left Earring;Smile;Hipster Orange Beard;
5975;Eyes To The Right;Black Left Earring;Wooah;Chin Strap Orange Beard;
5976;Eyes Wide Open;Black Earrings;Chin Strap Orange Beard;Unique Black Logo;
5977;Red Pixel Glasses;Black Earrings;Oops Left;Orange Print;
5978;Professor Eyes;Red Right Earring;Wooah;3-day Stubble Orange;
5979;Eyes Up;Long Black Earrings;Black Mustache;Gunslinger Orange Beard;
5980;Eyes To The Left;Long Black Left Earring;Balbo Orange Beard;Unique Blue Logo;
5981;Eyes Up;Red Left Earring;Mexican Mustache;Short Box Black Beard;
5982;Professor Eyes;Long Red Left Earring;Oops Left;Hipster Orange Beard;
5983;Pirate Eye;Black Earrings;Vampire;Gunslinger Black Beard;
5984;Sunglasses;Black Left Earring;Smile;Balbo Black Beard;
5985;Sunglasses;Red Left Earring;Oops Left;Balbo Black Beard;Orange Print
5986;Long Red Right Earring;Vampire;Chin Strap Orange Beard;Yellow Parrot Print;
5987;Professor Eyes;Red Earrings;Vampire;3-day Stubble Black;
5988;Sunglasses;Long Red Left Earring;Sad Face;3-day Stubble Black;
5989;Eyes To The Left;Red Right Earring;Wide Smile;Hipster Orange Beard;
5990;Pirate Eye;Black Right Earring;Oops Right;3-day Stubble Black;
5991;Eyes Up;Long Red Right Earring;Oops Right;Balbo Black Beard;Black Heart Print
5992;Pirate Eye;Long Red Earrings;White Beard;Hipster Black Beard;Love Print
5993;Eyes To The Left;Black Left Earring;LOL Teeth;Chin Strap Orange Beard;
5994;Professor Eyes;Long Red Earrings;Gold Mustache;Balbo Black Beard;
5995;Professor Eyes;Long Black Earrings;Wooah;Balbo Orange Beard;
5996;Red Pixel Glasses;Long Red Earrings;Piglet Mouth;3-day Stubble Black;Orange Print
5997;Eyes Wide Open;Long Red Left Earring;LOL Teeth;Balbo Black Beard;
5998;Pirate Eye;Long Red Left Earring;Oops Left;Hipster Black Beard;Yellow Parrot Print
5999;Professor Eyes;Smile;Balbo Orange Beard;;
6000;Pirate Eye;Long Black Earrings;Smile;Hipster Black Beard;Unique Black Logo
6001;Eyes Wide Open;Long Black Earrings;Oops Left;Short Box Black Beard;Berry Print
6002;Pirate Eye;Black Left Earring;Mexican Mustache;Balbo Black Beard;Hate Print
6003;Eyes To The Right;Long Black Right Earring;LOL Teeth;Short Box Orange Beard;Black Heart Print
6004;Eyes To The Right;Black Earrings;Piglet Mouth;Gunslinger Orange Beard;Blue Parrot Print
6005;Blah-blah Eyes;Black Earrings;Mexican Mustache;Short Box Black Beard;
6006;Pirate Eye;Long Red Earrings;Black Mustache;Short Box Orange Beard;Unique Black Logo
6007;Eyes Wide Open;LOL Teeth;Chin Strap Black Beard;;
6008;Professor Eyes;LOL Teeth;Yellow Parrot Print;;
6009;Blah-blah Eyes;Black Right Earring;Gold Mustache;Short Box Orange Beard;
6010;Pirate Eye;Black Right Earring;Gold Mustache;Hipster Black Beard;
6011;Red Pixel Glasses;Oops Right;Balbo Orange Beard;Love Print;
6012;Red Pixel Glasses;Black Right Earring;Wooah;Chin Strap Black Beard;
6013;Eyes Wide Open;Black Left Earring;Chin Strap Orange Beard;Unique Blue Logo;
6014;Sunglasses;Long Black Right Earring;Vampire;Balbo Black Beard;
6015;Blah-blah Eyes;Long Red Left Earring;Vampire;Heart Print;
6016;Red Pixel Glasses;Long Black Right Earring;Short Box Black Beard;Blue Parrot Print;
6017;Professor Eyes;Red Earrings;White Beard;Gunslinger Black Beard;
6018;Eyes To The Right;Oops Left;Gunslinger Orange Beard;;
6019;Sunglasses;Long Red Right Earring;Smile;Short Box Black Beard;Heart Print
6020;Red Pixel Glasses;Long Red Left Earring;Mexican Mustache;Gunslinger Black Beard;Black Heart Print
6021;Blah-blah Eyes;Red Right Earring;Oops Left;;
6022;Eyes To The Right;Red Left Earring;White Beard;Short Box Orange Beard;Unique Black Logo
6023;Sunglasses;Black Left Earring;White Beard;Hipster Orange Beard;Berry Print
6024;Eyes Up;Long Black Left Earring;LOL Teeth;3-day Stubble Black;Unique Black Logo
6025;Sunglasses;Black Left Earring;Mexican Mustache;Hipster Orange Beard;Heart Print
6026;Sunglasses;Black Left Earring;Oops Left;Hipster Orange Beard;
6027;Eyes Up;Long Red Right Earring;Wide Smile;Gunslinger Orange Beard;
6028;Eyes To The Left;Wide Smile;Chin Strap Black Beard;Heart Print;
6029;Professor Eyes;Black Mustache;Gunslinger Black Beard;Berry Print;
6030;Eyes To The Right;Red Right Earring;Sad Face;Chin Strap Black Beard;
6031;Blah-blah Eyes;Black Earrings;Sad Face;Short Box Black Beard;
6032;Eyes Wide Open;Red Right Earring;Mexican Mustache;3-day Stubble Orange;
6033;Eyes To The Left;Black Earrings;Oops Left;Gunslinger Orange Beard;Orange Print
6034;Blah-blah Eyes;Long Red Right Earring;Oops Left;3-day Stubble Black;Unique Blue Logo
6035;Black Right Earring;White Beard;Short Box Black Beard;;
6036;Long Black Left Earring;Smile;Short Box Orange Beard;Orange Print;
6037;Eyes Up;Long Red Left Earring;Smile;Hipster Black Beard;Blue Parrot Print
6038;Pirate Eye;LOL Teeth;Short Box Black Beard;;
6039;Sunglasses;Red Right Earring;Vampire;Gunslinger Orange Beard;Unique Blue Logo
6040;Red Right Earring;Smile;Balbo Black Beard;;
6041;Professor Eyes;Long Black Right Earring;Piglet Mouth;3-day Stubble Orange;
6042;Eyes To The Right;White Beard;Short Box Orange Beard;;
6043;Eyes Wide Open;Long Black Earrings;Mexican Mustache;Chin Strap Black Beard;
6044;Eyes Up;Red Left Earring;Mexican Mustache;Chin Strap Orange Beard;Blue Parrot Print
6045;Professor Eyes;Black Right Earring;Black Mustache;3-day Stubble Orange;
6046;Blah-blah Eyes;Long Black Right Earring;Piglet Mouth;3-day Stubble Black;Yellow Parrot Print
6047;Blah-blah Eyes;Long Black Left Earring;Gold Mustache;3-day Stubble Orange;Heart Print
6048;Red Pixel Glasses;Long Red Earrings;Gold Mustache;Chin Strap Orange Beard;Unique Black Logo
6049;Eyes To The Left;Long Red Left Earring;Oops Right;Chin Strap Black Beard;
6050;Professor Eyes;Red Right Earring;Smile;Gunslinger Black Beard;
6051;Eyes Wide Open;Short Box Black Beard;;;
6052;Red Pixel Glasses;Long Black Left Earring;Mexican Mustache;Orange Print;
6053;Professor Eyes;Long Red Right Earring;Smile;Hipster Black Beard;Yellow Parrot Print
6054;Sunglasses;Smile;Short Box Orange Beard;;
6055;Eyes To The Right;Long Black Right Earring;Smile;Gunslinger Orange Beard;Love Print
6056;Eyes To The Left;Red Right Earring;Gold Mustache;Hipster Black Beard;
6057;Eyes Wide Open;Long Red Right Earring;Vampire;Gunslinger Orange Beard;
6058;Black Earrings;Oops Left;Short Box Orange Beard;Black Heart Print;
6059;Eyes To The Left;Black Left Earring;Piglet Mouth;Short Box Black Beard;Unique Blue Logo
6060;Eyes Wide Open;Red Earrings;Sad Face;Short Box Orange Beard;
6061;Professor Eyes;Red Left Earring;Sad Face;Hipster Orange Beard;Berry Print
6062;Black Right Earring;Oops Right;Gunslinger Orange Beard;;
6063;Sunglasses;Black Earrings;Wide Smile;3-day Stubble Orange;Blue Parrot Print
6064;Eyes To The Right;Long Black Right Earring;Mexican Mustache;Blue Parrot Print;
6065;Eyes To The Left;Black Left Earring;Balbo Orange Beard;Yellow Parrot Print;
6066;Sunglasses;Black Right Earring;Mexican Mustache;3-day Stubble Orange;Heart Print
6067;Eyes Up;Black Left Earring;Vampire;3-day Stubble Orange;Unique Blue Logo
6068;Eyes Wide Open;Long Red Left Earring;Vampire;Gunslinger Black Beard;Heart Print
6069;Eyes Up;Smile;Gunslinger Black Beard;Black Heart Print;
6070;Eyes Wide Open;Long Red Right Earring;Mexican Mustache;Balbo Black Beard;Unique Black Logo
6071;Red Pixel Glasses;Long Black Earrings;Sad Face;Short Box Orange Beard;Love Print
6072;Red Pixel Glasses;Long Red Earrings;Oops Right;Hipster Orange Beard;
6073;Red Pixel Glasses;Long Red Left Earring;LOL Teeth;Chin Strap Orange Beard;
6074;Professor Eyes;Black Left Earring;White Beard;Short Box Orange Beard;
6075;Red Pixel Glasses;Long Red Earrings;Gold Mustache;Balbo Black Beard;Heart Print
6076;Professor Eyes;Black Earrings;Oops Right;3-day Stubble Black;Black Heart Print
6077;Red Pixel Glasses;Black Right Earring;Black Mustache;Balbo Black Beard;Blue Parrot Print
6078;Eyes To The Left;Black Mustache;Gunslinger Orange Beard;;
6079;Eyes To The Right;Black Right Earring;Oops Left;Chin Strap Orange Beard;Unique Blue Logo
6080;Red Pixel Glasses;Red Left Earring;Mexican Mustache;Balbo Black Beard;Love Print
6081;Eyes To The Left;Red Right Earring;Oops Left;Chin Strap Orange Beard;Orange Print
6082;Eyes Wide Open;Smile;Hipster Orange Beard;Berry Print;
6083;Eyes To The Left;Red Right Earring;Wooah;3-day Stubble Orange;Unique Black Logo
6084;Pirate Eye;Long Red Right Earring;White Beard;Gunslinger Orange Beard;
6085;Eyes Up;Long Red Right Earring;Gold Mustache;Balbo Black Beard;Orange Print
6086;Long Black Left Earring;Piglet Mouth;Blue Parrot Print;;
6087;Blah-blah Eyes;Long Black Earrings;Oops Right;Short Box Black Beard;
6088;Eyes To The Left;Black Left Earring;Oops Right;Balbo Black Beard;Black Heart Print
6089;Eyes To The Left;Black Left Earring;Smile;Gunslinger Orange Beard;Black Heart Print
6090;Pirate Eye;Long Red Earrings;Vampire;Short Box Black Beard;Heart Print
6091;Blah-blah Eyes;Long Red Right Earring;Piglet Mouth;Chin Strap Orange Beard;
6092;Eyes Up;Long Black Right Earring;Black Mustache;Balbo Orange Beard;Berry Print
6093;Professor Eyes;Long Red Right Earring;Balbo Orange Beard;Heart Print;
6094;Sunglasses;Black Right Earring;LOL Teeth;Hipster Black Beard;Blue Parrot Print
6095;Eyes To The Right;Long Red Right Earring;Oops Left;Short Box Orange Beard;
6096;Red Pixel Glasses;Long Black Right Earring;Oops Right;Short Box Orange Beard;
6097;Blah-blah Eyes;Red Earrings;Mexican Mustache;Hipster Orange Beard;
6098;Red Pixel Glasses;Black Left Earring;Black Mustache;Balbo Orange Beard;Black Heart Print
6099;Eyes Wide Open;Long Red Right Earring;Wide Smile;3-day Stubble Orange;Yellow Parrot Print
6100;Sunglasses;Red Earrings;Chin Strap Black Beard;;
6101;Eyes Up;Red Right Earring;Short Box Black Beard;;
6102;Professor Eyes;Long Red Earrings;Wide Smile;Hipster Orange Beard;
6103;Sunglasses;Oops Right;Short Box Orange Beard;Unique Black Logo;
6104;Blah-blah Eyes;Red Left Earring;Mexican Mustache;Short Box Black Beard;Black Heart Print
6105;Eyes To The Left;Long Red Right Earring;Hipster Black Beard;Unique Blue Logo;
6106;Pirate Eye;Wide Smile;Balbo Orange Beard;Black Heart Print;
6107;Professor Eyes;Black Left Earring;Sad Face;Short Box Orange Beard;Unique Black Logo
6108;Pirate Eye;Black Earrings;White Beard;Gunslinger Black Beard;Heart Print
6109;Eyes To The Left;Red Right Earring;3-day Stubble Black;Unique Black Logo;
6110;Sunglasses;Long Black Left Earring;Black Mustache;Hipster Black Beard;Unique Blue Logo
6111;Pirate Eye;Black Left Earring;Balbo Black Beard;Black Heart Print;
6112;Pirate Eye;Red Earrings;3-day Stubble Orange;;
6113;Eyes To The Left;Long Red Left Earring;Oops Right;Balbo Black Beard;
6114;Eyes To The Left;Sad Face;3-day Stubble Black;;
6115;Black Right Earring;Sad Face;Hipster Orange Beard;Heart Print;
6116;Blah-blah Eyes;Long Red Right Earring;Chin Strap Black Beard;Black Heart Print;
6117;Long Red Right Earring;Hipster Orange Beard;;;
6118;Eyes To The Left;Long Red Left Earring;Wide Smile;Gunslinger Orange Beard;Love Print
6119;Eyes To The Left;Long Red Earrings;Wide Smile;Chin Strap Black Beard;Unique Blue Logo
6120;Professor Eyes;Long Black Earrings;Mexican Mustache;Short Box Black Beard;Yellow Parrot Print
6121;Sunglasses;Long Black Left Earring;Smile;3-day Stubble Black;
6122;Eyes To The Right;Black Right Earring;White Beard;Balbo Orange Beard;Unique Blue Logo
6123;Red Pixel Glasses;Long Black Right Earring;LOL Teeth;Chin Strap Orange Beard;
6124;Red Pixel Glasses;Red Left Earring;Sad Face;Chin Strap Orange Beard;
6125;Eyes Wide Open;Mexican Mustache;Short Box Orange Beard;Blue Parrot Print;
6126;Sunglasses;Black Right Earring;Gold Mustache;Black Heart Print;
6127;Eyes Up;Oops Right;Gunslinger Orange Beard;;
6128;Professor Eyes;Wide Smile;Gunslinger Orange Beard;;
6129;Eyes Up;Long Black Earrings;Smile;Short Box Orange Beard;Heart Print
6130;Pirate Eye;Black Earrings;Gold Mustache;Gunslinger Black Beard;Unique Black Logo
6131;Professor Eyes;Balbo Orange Beard;;;
6132;Sunglasses;Red Left Earring;Oops Left;Gunslinger Orange Beard;
6133;Eyes To The Right;Black Left Earring;Oops Right;Chin Strap Orange Beard;Hate Print
6134;Sunglasses;Long Red Earrings;Vampire;3-day Stubble Black;Blue Parrot Print
6135;Blah-blah Eyes;Red Earrings;Vampire;Balbo Black Beard;Berry Print
6136;Professor Eyes;Long Black Right Earring;LOL Teeth;Hipster Orange Beard;Unique Blue Logo
6137;Sunglasses;Long Red Earrings;Smile;Gunslinger Black Beard;
6138;Eyes To The Right;Long Red Right Earring;Smile;Chin Strap Orange Beard;Orange Print
6139;Eyes To The Left;Black Right Earring;Oops Left;Gunslinger Orange Beard;Black Heart Print
